,interaction,features,odds,p,is_significant,q,log_o,log_q
5797,CHEBI:58199:+,IPR001309,374.44444444444446,3.425657593177239e-05,True,0.0004989138080532427,2.573387391432014,3.3019744762605687
5798,CHEBI:16108:+,IPR022805,269.48,6.047702037022834e-05,True,0.0007805740854525419,2.430526538680641,3.1075858711072706
5799,CHEBI:16108:-,IPR029768,135.67676767676767,0.00025836775750746383,True,0.002453921617474531,2.1325054885324426,2.6101393135087494
5800,CHEBI:16108:+,IPR023049,269.48,6.047702037022834e-05,True,0.0007805740854525419,2.430526538680641,3.1075858711072706
5801,CHEBI:16108:-,IPR028354,407.1515151515151,7.801768163032024e-05,True,0.0009624729245523188,2.609756055291739,3.0166114788406717
5803,CHEBI:17677:-,IPR029099,11.54020979020979,0.0183981782094983,True,0.03848994594492874,1.062213703958561,1.414652698825795
5804,CHEBI:16469:+,IPR003595,54.13709677419355,0.0010166656547586066,True,0.006558398294815764,1.7334949620226854,2.183202211944169
5805,CHEBI:16108:+,IPR033129,269.48,6.047702037022834e-05,True,0.0007805740854525419,2.430526538680641,3.1075858711072706
5808,CHEBI:76451:-,IPR001041,76.38636363636364,0.0005352329894384933,True,0.004126517368180572,1.88301583598329,2.3844163226401536
5809,CHEBI:16108:-,IPR022284,203.54545454545453,0.00015552710555537846,True,0.0016363124325037893,2.308661408420805,2.7861337698837425
5810,CHEBI:16108:-,IPR019777,203.54545454545453,0.00015552710555537846,True,0.0016363124325037893,2.308661408420805,2.7861337698837425
5811,CHEBI:18009:-,IPR022664,14.428571428571429,0.014165371701850343,True,0.032847008549663624,1.1592233337683857,1.4835041764704515
5812,CHEBI:17808:-,IPR038577,15000.0,1.3155078511460478e-05,True,0.00023161577574997062,4.176091259055681,3.6352318633909433
5813,CHEBI:16108:-,IPR018247,17.64426877470356,0.007263049331483073,True,0.02216424223690566,1.2466036647537044,1.654347112005341
5816,CHEBI:28869:-,IPR001307,79.83333333333333,0.0006119840731729701,True,0.004406711478400939,1.9021842630309196,2.355885383218309
5817,CHEBI:16077:-,IPR035090,74.62222222222222,0.0005982558995372653,True,0.004318060903702351,1.8728681780266863,2.3647112364910594
5818,CHEBI:15351:-,IPR004567,15000.0,0.00017956682168226353,True,0.001847473921312655,4.176091259055681,2.7334216833309424
5819,CHEBI:4167:-,IPR026891,106.88709677419355,0.001023278848496277,True,0.006558398294815764,2.0289252810928433,2.183202211944169
5820,CHEBI:16113:+,IPR036640,60.83257918552036,0.0007703333676568253,True,0.00530490618304833,1.7841362301123291,2.2753222921669187
5821,CHEBI:28368:-,IPR005737,15000.0,1.4251335054215317e-05,True,0.0002467163857457401,4.176091259055681,3.607802005748862
5823,CHEBI:17345:-,IPR014472,15.00907029478458,0.011758979049883732,True,0.02967849712047639,1.1763537916203652,1.5275580949297196
5824,CHEBI:18132:-,IPR005135,80.03571428571429,0.0004910181866135754,True,0.003823814033152984,1.9032838251928421,2.4175032373005885
5825,CHEBI:16113:+,IPR029477,396.05882352941177,4.4839468724346184e-05,True,0.0006191139615881552,2.5977596930896714,3.208229402137433
5826,CHEBI:16113:+,IPR029071,30.357466063348415,0.0027134060649085553,True,0.012397658072173318,1.4822655181907587,1.9066603456756939
5829,CHEBI:16469:+,IPR011990,18.002688172043012,0.006992603889938305,True,0.021750516245756742,1.255337359054282,1.6625304306623219
5830,CHEBI:16113:+,IPR036770,41.585139318885446,0.0015252394313289125,True,0.008567617129633784,1.6189381607988895,2.0671399495294467
5833,CHEBI:28368:-,IPR004084,15000.0,1.4251335054215317e-05,True,0.0002467163857457401,4.176091259055681,3.607802005748862
5835,CHEBI:28262:-,IPR043502,31.35058823529412,0.0033030332686052174,True,0.014012604433581754,1.4962456939688276,1.853481137661251
5836,CHEBI:16113:+,IPR018247,34.332480818414325,0.002164350957802742,True,0.010918480291353007,1.5357051860887583,1.9618378054965826
5837,CHEBI:16908:-,IPR002204,51.36758893280632,0.0041538495001328555,True,0.016025390863004224,1.7106891814971272,1.7951913691367094
